Categoría: Todas las categorías

Semana,Ansible: (Todo el mundo),Terraform: (Todo el mundo)
2019-12-01,54,36
2019-12-08,56,36
2019-12-15,56,37
2019-12-22,29,16
2019-12-29,28,21
2020-01-05,52,35
2020-01-12,56,38
2020-01-19,55,40
2020-01-26,59,41
2020-02-02,59,42
2020-02-09,62,44
2020-02-16,60,43
2020-02-23,58,43
2020-03-01,60,43
2020-03-08,52,39
2020-03-15,48,38
2020-03-22,48,39
2020-03-29,53,41
2020-04-05,52,41
2020-04-12,51,40
2020-04-19,54,47
2020-04-26,52,41
2020-05-03,52,42
2020-05-10,57,45
2020-05-17,54,44
2020-05-24,52,40
2020-05-31,52,44
2020-06-07,53,42
2020-06-14,54,46
2020-06-21,55,47
2020-06-28,51,41
2020-07-05,53,45
2020-07-12,52,46
2020-07-19,55,46
2020-07-26,54,48
2020-08-02,51,45
2020-08-09,49,47
2020-08-16,51,46
2020-08-23,49,47
2020-08-30,50,45
2020-09-06,52,44
2020-09-13,51,45
2020-09-20,50,46
2020-09-27,45,35
2020-10-04,46,35
2020-10-11,42,24
2020-10-18,41,26
2020-10-25,40,23
2020-11-01,38,22
2020-11-08,38,25
2020-11-15,41,28
2020-11-22,36,22
2020-11-29,43,26
2020-12-06,38,26
2020-12-13,36,25
2020-12-20,25,18
2020-12-27,19,14
2021-01-03,32,21
2021-01-10,38,27
2021-01-17,40,28
2021-01-24,43,27
2021-01-31,43,31
2021-02-07,43,31
2021-02-14,42,30
2021-02-21,41,33
2021-02-28,43,34
2021-03-07,42,32
2021-03-14,43,33
2021-03-21,43,33
2021-03-28,38,28
2021-04-04,38,28
2021-04-11,41,33
2021-04-18,42,33
2021-04-25,39,33
2021-05-02,38,33
2021-05-09,40,32
2021-05-16,43,35
2021-05-23,40,34
2021-05-30,40,34
2021-06-06,43,40
2021-06-13,42,37
2021-06-20,43,37
2021-06-27,40,35
2021-07-04,39,34
2021-07-11,40,37
2021-07-18,40,36
2021-07-25,41,37
2021-08-01,38,37
2021-08-08,38,33
2021-08-15,37,35
2021-08-22,35,34
2021-08-29,40,36
2021-09-05,40,33
2021-09-12,44,42
2021-09-19,44,40
2021-09-26,43,40
2021-10-03,41,40
2021-10-10,44,40
2021-10-17,44,43
2021-10-24,43,41
2021-10-31,37,37
2021-11-07,41,41
2021-11-14,46,47
2021-11-21,40,37
2021-11-28,40,42
2021-12-05,42,43
2021-12-12,46,43
2021-12-19,37,32
2021-12-26,24,25
2022-01-02,43,48
2022-01-09,53,53
2022-01-16,50,50
2022-01-23,54,59
2022-01-30,57,60
2022-02-06,60,68
2022-02-13,61,72
2022-02-20,54,60
2022-02-27,56,60
2022-03-06,55,63
2022-03-13,61,63
2022-03-20,58,74
2022-03-27,58,81
2022-04-03,59,81
2022-04-10,55,75
2022-04-17,56,78
2022-04-24,57,79
2022-05-01,51,72
2022-05-08,57,87
2022-05-15,53,79
2022-05-22,52,80
2022-05-29,50,72
2022-06-05,50,76
2022-06-12,54,77
2022-06-19,55,79
2022-06-26,52,79
2022-07-03,50,77
2022-07-10,52,81
2022-07-17,49,83
2022-07-24,50,86
2022-07-31,48,80
2022-08-07,48,79
2022-08-14,47,75
2022-08-21,51,82
2022-08-28,48,78
2022-09-04,47,74
2022-09-11,51,83
2022-09-18,52,83
2022-09-25,50,84
2022-10-02,49,72
2022-10-09,51,78
2022-10-16,54,82
2022-10-23,49,79
2022-10-30,50,77
2022-11-06,50,81
2022-11-13,52,85
2022-11-20,45,72
2022-11-27,49,75
2022-12-04,48,77
2022-12-11,49,79
2022-12-18,45,68
2022-12-25,30,43
2023-01-01,41,64
2023-01-08,49,84
2023-01-15,49,83
2023-01-22,50,88
2023-01-29,55,89
2023-02-05,55,90
2023-02-12,53,90
2023-02-19,54,86
2023-02-26,53,88
2023-03-05,50,86
2023-03-12,52,86
2023-03-19,51,85
2023-03-26,53,89
2023-04-02,48,79
2023-04-09,47,80
2023-04-16,49,80
2023-04-23,48,84
2023-04-30,44,76
2023-05-07,47,80
2023-05-14,46,81
2023-05-21,49,80
2023-05-28,44,77
2023-06-04,48,81
2023-06-11,49,85
2023-06-18,47,83
2023-06-25,49,80
2023-07-02,46,80
2023-07-09,54,90
2023-07-16,52,88
2023-07-23,57,90
2023-07-30,51,84
2023-08-06,51,87
2023-08-13,46,84
2023-08-20,51,90
2023-08-27,49,84
2023-09-03,50,78
2023-09-10,50,82
2023-09-17,51,84
2023-09-24,50,85
2023-10-01,48,80
2023-10-08,50,82
2023-10-15,52,89
2023-10-22,48,78
2023-10-29,46,80
2023-11-05,50,83
2023-11-12,48,79
2023-11-19,46,74
2023-11-26,50,81
2023-12-03,48,78
2023-12-10,48,76
2023-12-17,43,73
2023-12-24,26,41
2023-12-31,35,60
2024-01-07,49,79
2024-01-14,49,83
2024-01-21,54,90
2024-01-28,58,99
2024-02-04,57,98
2024-02-11,57,95
2024-02-18,58,98
2024-02-25,57,96
2024-03-03,58,96
2024-03-10,59,96
2024-03-17,58,93
2024-03-24,53,90
2024-03-31,53,86
2024-04-07,55,94
2024-04-14,56,100
2024-04-21,57,98
2024-04-28,47,84
2024-05-05,49,85
2024-05-12,55,92
2024-05-19,54,86
2024-05-26,53,83
2024-06-02,53,83
2024-06-09,54,86
2024-06-16,54,83
2024-06-23,50,85
2024-06-30,49,82
2024-07-07,53,85
2024-07-14,51,82
2024-07-21,52,88
2024-07-28,48,83
2024-08-04,49,83
2024-08-11,47,80
2024-08-18,50,85
2024-08-25,48,82
2024-09-01,49,80
2024-09-08,50,82
2024-09-15,49,81
2024-09-22,49,83
2024-09-29,46,78
2024-10-06,49,78
2024-10-13,47,84
2024-10-20,50,88
2024-10-27,46,77
2024-11-03,46,78
2024-11-10,48,80
2024-11-17,51,89
2024-11-24,41,80
2024-12-01,38,64
