Categoría: Todas las categorías

Semana,Amazon Web Services: (Todo el mundo),Microsoft Azure: (Todo el mundo)
2019-12-01,<1,46
2019-12-08,<1,47
2019-12-15,<1,47
2019-12-22,<1,25
2019-12-29,<1,26
2020-01-05,<1,45
2020-01-12,<1,45
2020-01-19,<1,48
2020-01-26,<1,47
2020-02-02,<1,49
2020-02-09,<1,50
2020-02-16,<1,50
2020-02-23,<1,49
2020-03-01,1,50
2020-03-08,1,47
2020-03-15,1,44
2020-03-22,1,45
2020-03-29,1,47
2020-04-05,1,44
2020-04-12,1,42
2020-04-19,1,49
2020-04-26,1,46
2020-05-03,1,48
2020-05-10,1,52
2020-05-17,1,51
2020-05-24,1,49
2020-05-31,1,49
2020-06-07,1,49
2020-06-14,7,50
2020-06-21,9,50
2020-06-28,6,46
2020-07-05,6,49
2020-07-12,9,50
2020-07-19,9,51
2020-07-26,12,49
2020-08-02,12,49
2020-08-09,11,49
2020-08-16,16,50
2020-08-23,17,48
2020-08-30,18,50
2020-09-06,16,50
2020-09-13,16,51
2020-09-20,15,50
2020-09-27,13,48
2020-10-04,16,48
2020-10-11,14,42
2020-10-18,14,44
2020-10-25,14,41
2020-11-01,13,40
2020-11-08,14,42
2020-11-15,14,42
2020-11-22,15,38
2020-11-29,15,39
2020-12-06,14,43
2020-12-13,16,45
2020-12-20,12,30
2020-12-27,10,22
2021-01-03,14,38
2021-01-10,15,43
2021-01-17,14,47
2021-01-24,14,47
2021-01-31,17,49
2021-02-07,23,45
2021-02-14,45,43
2021-02-21,48,45
2021-02-28,47,47
2021-03-07,46,46
2021-03-14,46,50
2021-03-21,46,48
2021-03-28,45,44
2021-04-04,46,42
2021-04-11,46,45
2021-04-18,47,48
2021-04-25,49,44
2021-05-02,46,44
2021-05-09,53,46
2021-05-16,49,49
2021-05-23,50,48
2021-05-30,47,46
2021-06-06,53,50
2021-06-13,51,50
2021-06-20,49,48
2021-06-27,50,48
2021-07-04,46,44
2021-07-11,49,46
2021-07-18,12,44
2021-07-25,2,45
2021-08-01,2,44
2021-08-08,2,44
2021-08-15,2,43
2021-08-22,2,42
2021-08-29,3,46
2021-09-05,2,47
2021-09-12,3,50
2021-09-19,4,51
2021-09-26,4,52
2021-10-03,4,51
2021-10-10,4,48
2021-10-17,4,47
2021-10-24,5,50
2021-10-31,4,44
2021-11-07,5,49
2021-11-14,5,52
2021-11-21,4,44
2021-11-28,5,49
2021-12-05,11,48
2021-12-12,6,50
2021-12-19,5,39
2021-12-26,4,29
2022-01-02,6,46
2022-01-09,7,56
2022-01-16,7,56
2022-01-23,8,58
2022-01-30,7,61
2022-02-06,7,66
2022-02-13,8,65
2022-02-20,3,60
2022-02-27,2,62
2022-03-06,2,61
2022-03-13,2,59
2022-03-20,2,61
2022-03-27,2,59
2022-04-03,2,62
2022-04-10,2,53
2022-04-17,2,57
2022-04-24,2,57
2022-05-01,2,54
2022-05-08,4,62
2022-05-15,4,61
2022-05-22,3,58
2022-05-29,67,56
2022-06-05,81,59
2022-06-12,85,62
2022-06-19,79,61
2022-06-26,80,60
2022-07-03,82,57
2022-07-10,89,59
2022-07-17,86,56
2022-07-24,91,58
2022-07-31,89,57
2022-08-07,85,59
2022-08-14,85,54
2022-08-21,94,58
2022-08-28,87,56
2022-09-04,80,58
2022-09-11,87,63
2022-09-18,89,62
2022-09-25,87,58
2022-10-02,85,56
2022-10-09,89,60
2022-10-16,91,61
2022-10-23,83,57
2022-10-30,84,56
2022-11-06,87,58
2022-11-13,93,62
2022-11-20,81,53
2022-11-27,86,54
2022-12-04,86,56
2022-12-11,85,58
2022-12-18,74,50
2022-12-25,59,32
2023-01-01,70,47
2023-01-08,82,59
2023-01-15,83,60
2023-01-22,83,65
2023-01-29,93,66
2023-02-05,96,64
2023-02-12,91,64
2023-02-19,88,60
2023-02-26,91,67
2023-03-05,79,68
2023-03-12,77,67
2023-03-19,78,66
2023-03-26,77,70
2023-04-02,72,59
2023-04-09,71,59
2023-04-16,74,63
2023-04-23,78,64
2023-04-30,70,60
2023-05-07,73,65
2023-05-14,73,64
2023-05-21,74,68
2023-05-28,70,62
2023-06-04,74,66
2023-06-11,83,67
2023-06-18,74,65
2023-06-25,73,67
2023-07-02,66,64
2023-07-09,80,72
2023-07-16,75,69
2023-07-23,81,69
2023-07-30,77,69
2023-08-06,75,66
2023-08-13,70,61
2023-08-20,76,67
2023-08-27,70,67
2023-09-03,70,67
2023-09-10,70,68
2023-09-17,71,65
2023-09-24,72,85
2023-10-01,73,67
2023-10-08,70,68
2023-10-15,72,67
2023-10-22,69,65
2023-10-29,67,63
2023-11-05,72,67
2023-11-12,69,66
2023-11-19,64,66
2023-11-26,77,67
2023-12-03,76,65
2023-12-10,69,63
2023-12-17,66,59
2023-12-24,46,36
2023-12-31,58,50
2024-01-07,71,65
2024-01-14,72,69
2024-01-21,87,73
2024-01-28,100,79
2024-02-04,97,77
2024-02-11,87,77
2024-02-18,82,82
2024-02-25,86,83
2024-03-03,82,79
2024-03-10,80,74
2024-03-17,80,78
2024-03-24,75,74
2024-03-31,79,69
2024-04-07,78,66
2024-04-14,73,76
2024-04-21,76,76
2024-04-28,78,67
2024-05-05,79,69
2024-05-12,84,74
2024-05-19,78,74
2024-05-26,73,71
2024-06-02,78,72
2024-06-09,80,74
2024-06-16,76,70
2024-06-23,76,72
2024-06-30,72,64
2024-07-07,79,69
2024-07-14,75,82
2024-07-21,81,71
2024-07-28,82,72
2024-08-04,79,66
2024-08-11,73,67
2024-08-18,70,70
2024-08-25,71,64
2024-09-01,77,69
2024-09-08,75,69
2024-09-15,73,68
2024-09-22,74,70
2024-09-29,73,63
2024-10-06,72,66
2024-10-13,74,68
2024-10-20,71,72
2024-10-27,64,61
2024-11-03,67,65
2024-11-10,70,66
2024-11-17,71,72
2024-11-24,67,63
2024-12-01,64,49
