Categoría: Todas las categorías

Semana,Kotlin: (Todo el mundo),Swift: (Todo el mundo)
2019-12-01,51,81
2019-12-08,47,80
2019-12-15,48,79
2019-12-22,34,64
2019-12-29,32,54
2020-01-05,46,73
2020-01-12,49,78
2020-01-19,49,76
2020-01-26,45,74
2020-02-02,50,80
2020-02-09,52,83
2020-02-16,54,85
2020-02-23,52,88
2020-03-01,51,83
2020-03-08,49,79
2020-03-15,46,74
2020-03-22,43,75
2020-03-29,48,80
2020-04-05,48,84
2020-04-12,48,83
2020-04-19,49,83
2020-04-26,46,78
2020-05-03,48,78
2020-05-10,49,82
2020-05-17,48,81
2020-05-24,50,76
2020-05-31,50,78
2020-06-07,49,78
2020-06-14,51,78
2020-06-21,47,84
2020-06-28,48,82
2020-07-05,51,87
2020-07-12,53,83
2020-07-19,53,81
2020-07-26,50,81
2020-08-02,48,76
2020-08-09,48,76
2020-08-16,50,75
2020-08-23,50,77
2020-08-30,54,77
2020-09-06,50,75
2020-09-13,51,78
2020-09-20,47,80
2020-09-27,40,67
2020-10-04,39,59
2020-10-11,33,46
2020-10-18,33,52
2020-10-25,32,52
2020-11-01,31,44
2020-11-08,33,46
2020-11-15,33,50
2020-11-22,33,46
2020-11-29,34,45
2020-12-06,33,46
2020-12-13,34,47
2020-12-20,28,43
2020-12-27,23,40
2021-01-03,31,44
2021-01-10,34,44
2021-01-17,35,52
2021-01-24,34,49
2021-01-31,37,52
2021-02-07,35,48
2021-02-14,36,46
2021-02-21,37,52
2021-02-28,39,54
2021-03-07,37,50
2021-03-14,38,53
2021-03-21,38,53
2021-03-28,38,50
2021-04-04,38,47
2021-04-11,37,45
2021-04-18,41,44
2021-04-25,36,43
2021-05-02,37,40
2021-05-09,38,44
2021-05-16,40,44
2021-05-23,38,41
2021-05-30,39,44
2021-06-06,39,50
2021-06-13,37,45
2021-06-20,39,46
2021-06-27,38,45
2021-07-04,38,46
2021-07-11,40,47
2021-07-18,37,45
2021-07-25,37,46
2021-08-01,38,45
2021-08-08,39,43
2021-08-15,37,45
2021-08-22,37,38
2021-08-29,37,47
2021-09-05,40,47
2021-09-12,43,49
2021-09-19,37,45
2021-09-26,39,47
2021-10-03,40,48
2021-10-10,41,48
2021-10-17,42,50
2021-10-24,43,48
2021-10-31,41,43
2021-11-07,44,49
2021-11-14,45,52
2021-11-21,40,50
2021-11-28,45,56
2021-12-05,46,56
2021-12-12,43,51
2021-12-19,42,53
2021-12-26,32,46
2022-01-02,52,64
2022-01-09,62,69
2022-01-16,55,67
2022-01-23,65,77
2022-01-30,60,69
2022-02-06,66,78
2022-02-13,76,86
2022-02-20,73,93
2022-02-27,68,100
2022-03-06,66,81
2022-03-13,75,78
2022-03-20,74,76
2022-03-27,82,80
2022-04-03,80,82
2022-04-10,80,73
2022-04-17,81,80
2022-04-24,80,75
2022-05-01,75,65
2022-05-08,81,82
2022-05-15,76,81
2022-05-22,75,74
2022-05-29,73,69
2022-06-05,76,77
2022-06-12,73,78
2022-06-19,76,79
2022-06-26,72,76
2022-07-03,75,81
2022-07-10,74,82
2022-07-17,75,81
2022-07-24,75,82
2022-07-31,79,78
2022-08-07,72,72
2022-08-14,76,70
2022-08-21,72,79
2022-08-28,71,72
2022-09-04,71,76
2022-09-11,75,78
2022-09-18,79,72
2022-09-25,75,72
2022-10-02,70,74
2022-10-09,76,71
2022-10-16,77,75
2022-10-23,77,78
2022-10-30,75,79
2022-11-06,81,81
2022-11-13,79,83
2022-11-20,73,74
2022-11-27,74,71
2022-12-04,75,74
2022-12-11,75,75
2022-12-18,69,70
2022-12-25,55,59
2023-01-01,61,67
2023-01-08,71,75
2023-01-15,72,74
2023-01-22,71,77
2023-01-29,83,79
2023-02-05,81,80
2023-02-12,79,75
2023-02-19,80,75
2023-02-26,76,74
2023-03-05,74,75
2023-03-12,77,79
2023-03-19,73,78
2023-03-26,73,78
2023-04-02,69,74
2023-04-09,70,71
2023-04-16,68,78
2023-04-23,71,69
2023-04-30,61,60
2023-05-07,66,67
2023-05-14,64,71
2023-05-21,71,74
2023-05-28,67,66
2023-06-04,67,70
2023-06-11,69,74
2023-06-18,68,75
2023-06-25,65,68
2023-07-02,66,70
2023-07-09,75,74
2023-07-16,70,63
2023-07-23,70,67
2023-07-30,69,61
2023-08-06,68,60
2023-08-13,62,60
2023-08-20,69,60
2023-08-27,67,59
2023-09-03,71,59
2023-09-10,66,58
2023-09-17,71,58
2023-09-24,71,60
2023-10-01,67,53
2023-10-08,67,56
2023-10-15,70,56
2023-10-22,69,54
2023-10-29,66,52
2023-11-05,68,55
2023-11-12,65,54
2023-11-19,63,52
2023-11-26,68,52
2023-12-03,69,52
2023-12-10,67,47
2023-12-17,63,48
2023-12-24,49,38
2023-12-31,54,41
2024-01-07,62,47
2024-01-14,66,50
2024-01-21,66,56
2024-01-28,75,61
2024-02-04,74,62
2024-02-11,71,58
2024-02-18,79,57
2024-02-25,72,58
2024-03-03,75,57
2024-03-10,78,61
2024-03-17,75,57
2024-03-24,71,56
2024-03-31,65,56
2024-04-07,69,51
2024-04-14,68,53
2024-04-21,71,54
2024-04-28,63,48
2024-05-05,67,50
2024-05-12,69,53
2024-05-19,72,50
2024-05-26,70,50
2024-06-02,64,48
2024-06-09,68,54
2024-06-16,65,54
2024-06-23,65,48
2024-06-30,63,51
2024-07-07,66,49
2024-07-14,65,49
2024-07-21,65,46
2024-07-28,64,46
2024-08-04,63,46
2024-08-11,64,45
2024-08-18,63,46
2024-08-25,61,45
2024-09-01,64,44
2024-09-08,60,45
2024-09-15,60,44
2024-09-22,62,47
2024-09-29,59,42
2024-10-06,60,43
2024-10-13,61,42
2024-10-20,62,44
2024-10-27,59,41
2024-11-03,57,42
2024-11-10,59,43
2024-11-17,62,42
2024-11-24,60,42
2024-12-01,54,37
