Categoría: Todas las categorías

Semana,Aprendizaje automático: (Todo el mundo),Python: (Todo el mundo)
2019-12-01,5,63
2019-12-08,5,65
2019-12-15,5,60
2019-12-22,4,42
2019-12-29,4,41
2020-01-05,5,56
2020-01-12,5,63
2020-01-19,5,59
2020-01-26,5,62
2020-02-02,5,64
2020-02-09,5,66
2020-02-16,6,69
2020-02-23,5,67
2020-03-01,5,67
2020-03-08,5,61
2020-03-15,4,56
2020-03-22,4,58
2020-03-29,4,59
2020-04-05,5,65
2020-04-12,5,65
2020-04-19,5,67
2020-04-26,5,65
2020-05-03,5,67
2020-05-10,5,64
2020-05-17,5,64
2020-05-24,5,61
2020-05-31,5,59
2020-06-07,5,60
2020-06-14,5,62
2020-06-21,5,58
2020-06-28,5,59
2020-07-05,5,61
2020-07-12,5,63
2020-07-19,5,61
2020-07-26,5,62
2020-08-02,5,59
2020-08-09,5,59
2020-08-16,5,60
2020-08-23,5,57
2020-08-30,5,58
2020-09-06,5,63
2020-09-13,5,64
2020-09-20,5,62
2020-09-27,5,56
2020-10-04,5,57
2020-10-11,4,54
2020-10-18,4,52
2020-10-25,4,52
2020-11-01,4,46
2020-11-08,4,50
2020-11-15,4,52
2020-11-22,4,48
2020-11-29,4,51
2020-12-06,4,52
2020-12-13,4,51
2020-12-20,4,42
2020-12-27,3,37
2021-01-03,4,44
2021-01-10,4,47
2021-01-17,4,52
2021-01-24,4,49
2021-01-31,4,53
2021-02-07,4,52
2021-02-14,4,51
2021-02-21,5,54
2021-02-28,4,54
2021-03-07,4,54
2021-03-14,5,57
2021-03-21,4,57
2021-03-28,4,53
2021-04-04,4,52
2021-04-11,4,54
2021-04-18,5,60
2021-04-25,4,54
2021-05-02,4,53
2021-05-09,4,51
2021-05-16,5,54
2021-05-23,5,54
2021-05-30,5,52
2021-06-06,5,54
2021-06-13,5,53
2021-06-20,5,52
2021-06-27,5,49
2021-07-04,4,47
2021-07-11,5,49
2021-07-18,5,51
2021-07-25,4,48
2021-08-01,4,48
2021-08-08,4,47
2021-08-15,4,49
2021-08-22,4,45
2021-08-29,4,51
2021-09-05,5,56
2021-09-12,5,57
2021-09-19,5,58
2021-09-26,5,60
2021-10-03,5,60
2021-10-10,5,60
2021-10-17,5,62
2021-10-24,5,64
2021-10-31,5,57
2021-11-07,5,66
2021-11-14,5,67
2021-11-21,5,60
2021-11-28,5,62
2021-12-05,5,61
2021-12-12,5,60
2021-12-19,4,54
2021-12-26,4,46
2022-01-02,6,66
2022-01-09,6,72
2022-01-16,5,71
2022-01-23,6,81
2022-01-30,6,73
2022-02-06,7,80
2022-02-13,7,96
2022-02-20,7,84
2022-02-27,7,87
2022-03-06,7,92
2022-03-13,7,89
2022-03-20,7,94
2022-03-27,7,99
2022-04-03,8,93
2022-04-10,7,87
2022-04-17,7,92
2022-04-24,7,92
2022-05-01,7,88
2022-05-08,8,93
2022-05-15,7,86
2022-05-22,7,78
2022-05-29,6,79
2022-06-05,7,79
2022-06-12,7,83
2022-06-19,7,83
2022-06-26,7,77
2022-07-03,7,78
2022-07-10,6,79
2022-07-17,7,76
2022-07-24,6,78
2022-07-31,7,77
2022-08-07,6,75
2022-08-14,6,76
2022-08-21,7,82
2022-08-28,7,78
2022-09-04,6,74
2022-09-11,7,87
2022-09-18,7,90
2022-09-25,7,88
2022-10-02,7,87
2022-10-09,7,92
2022-10-16,7,100
2022-10-23,7,97
2022-10-30,7,87
2022-11-06,7,87
2022-11-13,8,94
2022-11-20,7,86
2022-11-27,7,89
2022-12-04,7,89
2022-12-11,7,94
2022-12-18,6,76
2022-12-25,6,62
2023-01-01,6,73
2023-01-08,7,83
2023-01-15,7,85
2023-01-22,8,86
2023-01-29,8,89
2023-02-05,8,91
2023-02-12,7,92
2023-02-19,7,90
2023-02-26,7,87
2023-03-05,7,83
2023-03-12,7,87
2023-03-19,7,89
2023-03-26,7,84
2023-04-02,7,78
2023-04-09,7,78
2023-04-16,7,77
2023-04-23,8,79
2023-04-30,7,72
2023-05-07,7,72
2023-05-14,9,77
2023-05-21,9,77
2023-05-28,8,72
2023-06-04,7,72
2023-06-11,8,72
2023-06-18,7,70
2023-06-25,7,69
2023-07-02,7,70
2023-07-09,8,76
2023-07-16,7,73
2023-07-23,7,72
2023-07-30,7,69
2023-08-06,7,71
2023-08-13,7,69
2023-08-20,8,74
2023-08-27,8,72
2023-09-03,8,76
2023-09-10,8,79
2023-09-17,8,77
2023-09-24,8,79
2023-10-01,8,80
2023-10-08,8,80
2023-10-15,8,79
2023-10-22,8,81
2023-10-29,8,76
2023-11-05,8,74
2023-11-12,7,77
2023-11-19,8,77
2023-11-26,8,79
2023-12-03,8,77
2023-12-10,8,74
2023-12-17,7,70
2023-12-24,6,54
2023-12-31,7,57
2024-01-07,7,68
2024-01-14,8,75
2024-01-21,8,79
2024-01-28,8,86
2024-02-04,8,88
2024-02-11,8,82
2024-02-18,8,83
2024-02-25,8,82
2024-03-03,8,83
2024-03-10,8,85
2024-03-17,9,85
2024-03-24,8,78
2024-03-31,8,81
2024-04-07,8,76
2024-04-14,9,77
2024-04-21,9,77
2024-04-28,9,73
2024-05-05,8,76
2024-05-12,9,76
2024-05-19,9,78
2024-05-26,9,74
2024-06-02,8,72
2024-06-09,9,67
2024-06-16,8,67
2024-06-23,8,67
2024-06-30,8,65
2024-07-07,8,69
2024-07-14,8,73
2024-07-21,8,69
2024-07-28,7,63
2024-08-04,7,63
2024-08-11,7,62
2024-08-18,8,69
2024-08-25,8,69
2024-09-01,8,69
2024-09-08,8,74
2024-09-15,8,75
2024-09-22,8,72
2024-09-29,8,75
2024-10-06,8,73
2024-10-13,8,70
2024-10-20,9,75
2024-10-27,8,66
2024-11-03,8,69
2024-11-10,9,73
2024-11-17,9,73
2024-11-24,8,72
2024-12-01,8,64
