Categoría: Todas las categorías

Semana,DevOps: (Todo el mundo),Kubernetes: (Todo el mundo)
2019-12-01,38,64
2019-12-08,37,65
2019-12-15,37,59
2019-12-22,19,38
2019-12-29,22,38
2020-01-05,39,60
2020-01-12,39,62
2020-01-19,41,62
2020-01-26,42,60
2020-02-02,45,68
2020-02-09,43,66
2020-02-16,43,68
2020-02-23,42,65
2020-03-01,41,70
2020-03-08,39,60
2020-03-15,33,51
2020-03-22,30,55
2020-03-29,32,59
2020-04-05,32,60
2020-04-12,35,61
2020-04-19,36,63
2020-04-26,33,62
2020-05-03,34,62
2020-05-10,36,66
2020-05-17,36,63
2020-05-24,34,61
2020-05-31,37,64
2020-06-07,38,63
2020-06-14,39,66
2020-06-21,37,64
2020-06-28,37,64
2020-07-05,39,68
2020-07-12,39,67
2020-07-19,38,69
2020-07-26,38,65
2020-08-02,37,65
2020-08-09,39,63
2020-08-16,38,66
2020-08-23,38,64
2020-08-30,38,61
2020-09-06,36,62
2020-09-13,40,65
2020-09-20,37,64
2020-09-27,35,52
2020-10-04,37,51
2020-10-11,33,43
2020-10-18,34,45
2020-10-25,32,42
2020-11-01,30,41
2020-11-08,32,45
2020-11-15,33,44
2020-11-22,31,41
2020-11-29,33,46
2020-12-06,34,47
2020-12-13,33,46
2020-12-20,23,35
2020-12-27,17,28
2021-01-03,32,40
2021-01-10,34,43
2021-01-17,36,44
2021-01-24,36,47
2021-01-31,38,48
2021-02-07,35,43
2021-02-14,37,45
2021-02-21,38,47
2021-02-28,38,45
2021-03-07,37,49
2021-03-14,37,47
2021-03-21,39,51
2021-03-28,36,46
2021-04-04,36,47
2021-04-11,37,50
2021-04-18,39,50
2021-04-25,37,50
2021-05-02,37,46
2021-05-09,37,48
2021-05-16,40,50
2021-05-23,39,49
2021-05-30,38,49
2021-06-06,40,52
2021-06-13,41,52
2021-06-20,40,50
2021-06-27,41,51
2021-07-04,37,50
2021-07-11,39,56
2021-07-18,41,52
2021-07-25,39,52
2021-08-01,38,48
2021-08-08,37,47
2021-08-15,38,50
2021-08-22,38,50
2021-08-29,40,51
2021-09-05,39,52
2021-09-12,42,57
2021-09-19,40,52
2021-09-26,41,53
2021-10-03,42,55
2021-10-10,39,55
2021-10-17,42,55
2021-10-24,40,58
2021-10-31,37,51
2021-11-07,42,56
2021-11-14,43,58
2021-11-21,40,50
2021-11-28,43,56
2021-12-05,41,53
2021-12-12,40,56
2021-12-19,34,50
2021-12-26,26,37
2022-01-02,50,61
2022-01-09,52,74
2022-01-16,51,70
2022-01-23,51,76
2022-01-30,59,71
2022-02-06,60,82
2022-02-13,61,87
2022-02-20,57,77
2022-02-27,56,80
2022-03-06,55,77
2022-03-13,58,81
2022-03-20,55,84
2022-03-27,58,91
2022-04-03,60,91
2022-04-10,54,82
2022-04-17,56,88
2022-04-24,58,92
2022-05-01,56,78
2022-05-08,58,93
2022-05-15,57,88
2022-05-22,56,83
2022-05-29,53,82
2022-06-05,54,82
2022-06-12,56,88
2022-06-19,56,88
2022-06-26,57,90
2022-07-03,56,84
2022-07-10,60,86
2022-07-17,58,87
2022-07-24,56,86
2022-07-31,57,84
2022-08-07,55,87
2022-08-14,56,84
2022-08-21,57,86
2022-08-28,54,83
2022-09-04,53,79
2022-09-11,58,89
2022-09-18,57,91
2022-09-25,58,83
2022-10-02,54,81
2022-10-09,62,85
2022-10-16,59,86
2022-10-23,54,85
2022-10-30,53,83
2022-11-06,56,84
2022-11-13,59,89
2022-11-20,51,78
2022-11-27,52,83
2022-12-04,52,83
2022-12-11,54,79
2022-12-18,46,77
2022-12-25,37,56
2023-01-01,49,73
2023-01-08,57,85
2023-01-15,56,82
2023-01-22,59,85
2023-01-29,62,93
2023-02-05,60,96
2023-02-12,59,87
2023-02-19,55,90
2023-02-26,58,86
2023-03-05,54,87
2023-03-12,57,87
2023-03-19,55,83
2023-03-26,57,89
2023-04-02,52,81
2023-04-09,51,81
2023-04-16,55,86
2023-04-23,52,86
2023-04-30,48,73
2023-05-07,53,82
2023-05-14,54,81
2023-05-21,54,84
2023-05-28,54,77
2023-06-04,55,82
2023-06-11,53,83
2023-06-18,58,78
2023-06-25,54,82
2023-07-02,54,79
2023-07-09,59,89
2023-07-16,57,85
2023-07-23,59,88
2023-07-30,57,87
2023-08-06,54,82
2023-08-13,51,78
2023-08-20,53,85
2023-08-27,58,85
2023-09-03,57,83
2023-09-10,55,83
2023-09-17,54,83
2023-09-24,57,83
2023-10-01,54,78
2023-10-08,52,84
2023-10-15,53,83
2023-10-22,52,84
2023-10-29,51,85
2023-11-05,54,81
2023-11-12,56,80
2023-11-19,55,79
2023-11-26,57,81
2023-12-03,58,82
2023-12-10,52,74
2023-12-17,47,77
2023-12-24,33,53
2023-12-31,43,62
2024-01-07,54,85
2024-01-14,55,82
2024-01-21,58,90
2024-01-28,62,97
2024-02-04,65,96
2024-02-11,63,92
2024-02-18,62,96
2024-02-25,64,95
2024-03-03,62,100
2024-03-10,62,96
2024-03-17,62,98
2024-03-24,56,93
2024-03-31,55,88
2024-04-07,52,93
2024-04-14,58,92
2024-04-21,58,94
2024-04-28,53,80
2024-05-05,54,87
2024-05-12,57,91
2024-05-19,56,87
2024-05-26,55,82
2024-06-02,57,86
2024-06-09,57,85
2024-06-16,56,83
2024-06-23,57,83
2024-06-30,52,80
2024-07-07,56,84
2024-07-14,56,86
2024-07-21,60,90
2024-07-28,51,82
2024-08-04,53,85
2024-08-11,53,85
2024-08-18,54,85
2024-08-25,54,81
2024-09-01,51,81
2024-09-08,52,82
2024-09-15,54,80
2024-09-22,55,83
2024-09-29,55,80
2024-10-06,50,82
2024-10-13,51,82
2024-10-20,54,82
2024-10-27,46,77
2024-11-03,50,79
2024-11-10,52,81
2024-11-17,55,87
2024-11-24,50,85
2024-12-01,41,67
