Categoría: Todas las categorías

Semana,Flutter: (Todo el mundo),React Native: (Todo el mundo)
2019-12-01,31,37
2019-12-08,32,36
2019-12-15,35,37
2019-12-22,29,29
2019-12-29,28,27
2020-01-05,32,37
2020-01-12,32,37
2020-01-19,34,37
2020-01-26,32,38
2020-02-02,33,39
2020-02-09,37,40
2020-02-16,39,42
2020-02-23,37,42
2020-03-01,37,43
2020-03-08,36,38
2020-03-15,34,37
2020-03-22,36,34
2020-03-29,36,38
2020-04-05,39,38
2020-04-12,39,38
2020-04-19,40,40
2020-04-26,43,38
2020-05-03,44,37
2020-05-10,40,40
2020-05-17,44,40
2020-05-24,42,39
2020-05-31,45,39
2020-06-07,43,39
2020-06-14,44,37
2020-06-21,44,40
2020-06-28,46,40
2020-07-05,48,42
2020-07-12,49,41
2020-07-19,49,41
2020-07-26,45,40
2020-08-02,46,38
2020-08-09,45,39
2020-08-16,47,39
2020-08-23,46,37
2020-08-30,45,38
2020-09-06,45,39
2020-09-13,44,38
2020-09-20,46,37
2020-09-27,39,31
2020-10-04,40,30
2020-10-11,35,25
2020-10-18,35,27
2020-10-25,34,24
2020-11-01,31,23
2020-11-08,33,24
2020-11-15,32,23
2020-11-22,33,24
2020-11-29,36,24
2020-12-06,32,24
2020-12-13,34,24
2020-12-20,32,22
2020-12-27,31,21
2021-01-03,34,24
2021-01-10,35,24
2021-01-17,36,25
2021-01-24,38,25
2021-01-31,39,26
2021-02-07,34,24
2021-02-14,36,25
2021-02-21,38,26
2021-02-28,45,26
2021-03-07,45,25
2021-03-14,46,28
2021-03-21,44,27
2021-03-28,44,26
2021-04-04,43,26
2021-04-11,42,25
2021-04-18,43,26
2021-04-25,40,26
2021-05-02,39,26
2021-05-09,40,26
2021-05-16,44,27
2021-05-23,45,26
2021-05-30,44,27
2021-06-06,46,27
2021-06-13,45,28
2021-06-20,46,27
2021-06-27,43,27
2021-07-04,44,27
2021-07-11,47,27
2021-07-18,43,26
2021-07-25,43,26
2021-08-01,46,26
2021-08-08,44,26
2021-08-15,45,26
2021-08-22,40,25
2021-08-29,44,28
2021-09-05,43,27
2021-09-12,47,27
2021-09-19,46,28
2021-09-26,43,28
2021-10-03,46,27
2021-10-10,45,25
2021-10-17,46,27
2021-10-24,48,29
2021-10-31,44,26
2021-11-07,48,29
2021-11-14,50,30
2021-11-21,45,29
2021-11-28,48,29
2021-12-05,50,29
2021-12-12,49,29
2021-12-19,49,28
2021-12-26,46,26
2022-01-02,73,40
2022-01-09,73,39
2022-01-16,70,40
2022-01-23,77,45
2022-01-30,74,40
2022-02-06,85,45
2022-02-13,99,52
2022-02-20,92,50
2022-02-27,96,49
2022-03-06,86,49
2022-03-13,95,52
2022-03-20,94,48
2022-03-27,93,55
2022-04-03,95,55
2022-04-10,89,52
